Event ID,LGA,Customers Interrupted,Ave Dur. (min),Reason
1789086,NORTH SYDNEY,58,286,Third party
1789422,GOSFORD,57,204,Equipment fault
1791767,CESSNOCK,70,70,Vandalism
1793009,BOTANY,3283,95.85348766,Equipment fault
1797911,WOOLLAHRA,77,218.2666667,Environmental
1765357,NEWCASTLE,90,63,Equipment fault
1765797,NORTH SYDNEY,63,127,Environmental
1768306,PORT STEPHENS,1634,185.8562691,Environmental
1768453,WYONG,388,294.2113402,Environmental
1768522,WYONG,56,311.8333333,Environmental
1769965,KU-RING-GAI,901,113.4955752,Equipment fault
1771648,WYONG,415,27,Environmental
1772175,WYONG,56,217,Environmental
1772443,WOOLLAHRA,180,99,Equipment fault
1772470,HUNTERS HILL,148,73.99673423,Equipment fault
1775277,HURSTVILLE,111,45,Operating fault
1775402,SYDNEY,85,128.05,Customer installation
1775483,ASHFIELD,91,87.15805861,Environmental
1775527,ROCKDALE,2134,58,Environmental
1776152,PITTWATER,1453,93.11263736,Equipment fault
1777423,RANDWICK,60,55,Equipment fault
1778984,BANKSTOWN,59,357,Equipment fault
1778250,BANKSTOWN,64,137.55,Equipment fault
1717058,LEICHHARDT,59,18.81666667,Environmental
1717310,SINGLETON,161,34,Equipment fault
1718960,WYONG,75,7,Environmental
1719581,SUTHERLAND,1062,95.36666667,Environmental
1720693,SCONE,93,220.8602151,Environmental
1722263,MUSWELLBROOK,62,35,Equipment fault
1723425,NEWCASTLE,1572,117.1463104,Equipment fault
1725540,BANKSTOWN,1961,5.610290372,Environmental
1725363,LAKE MACQUARIE,206,100,Equipment fault
1725810,SUTHERLAND,52,342.4833333,Environmental
1725949,SUTHERLAND,276,343.6456522,Environmental
1727228,AUBURN,105,259.6733333,Equipment fault
1727813,LAKE MACQUARIE,73,88.15,Equipment fault
1728215,PORT STEPHENS,254,1115.582677,Environmental
1728141,MAITLAND,1289,329.4263566,Equipment fault
1728555,BANKSTOWN,86,198.65,Equipment fault
1728575,KU-RING-GAI,55,241,Environmental
1730484,ROCKDALE,4629,11.25517241,Equipment fault
1732969,WYONG,51,355.6078431,Environmental
1744684,HUNTERS HILL,1209,38.81322314,Equipment fault
1744863,WARRINGAH,66,225,Environmental
1745181,AUBURN,58,26,Equipment fault
1751020,GOSFORD,289,125.8793103,Environmental
1751585,LEICHHARDT,99,76.48333333,Equipment fault
1752444,WARRINGAH,134,111,Environmental
1753981,GOSFORD,644,130.6965944,Environmental
1754221,GOSFORD,59,1050.916667,Equipment fault
1753978,MANLY,67,35,Environmental
1754762,NEWCASTLE,68,55,Equipment fault
1756241,MAITLAND,498,147.0180723,Equipment fault
1757352,WARRINGAH,56,50,Environmental
1757735,SUTHERLAND,66,50,Environmental
1757850,HORNSBY,962,3246.420561,Equipment fault
1758741,SUTHERLAND,71,75.07042254,Equipment fault
