NAME,DISTURBANCE_ID,TYPE,DATA_SRC,SURFACE_CODE,CYC_TYPE,LAT,LON
unnamed ,AU190607_01U,T, ,1, ,-13,146.5
unnamed ,AU190607_01U,T, ,3, ,-15,145
unnamed ,AU190607_01U,T, ,2, ,-14,143
unnamed ,AU190607_01U,T, ,2, ,-13.5,142
unnamed ,AU190607_01U,T, ,4, ,-15.6,141.5
unnamed ,AU190607_01U,T, ,1, ,-17,140.3
unnamed ,AU190607_01U,T, ,3, ,-18,138.5
unnamed ,AU190607_01U,T, ,2, ,-19.7,137.5
unnamed ,AU190607_01U,T, ,2, ,-22.5,138
unnamed ,AU190607_01U,T, ,2, ,-29,140
unnamed ,AU190708_01U,T, ,1, ,-13,140
unnamed ,AU190708_01U,T, ,1, ,-15.5,147
unnamed ,AU190708_01U,T, ,1, ,-17,150
unnamed ,AU190708_01U,T, ,1, ,-20.5,152.5
unnamed ,AU190708_01U,T, ,1, ,-21,156
unnamed ,AU190708_02U,T, ,1, ,-18,150.2
unnamed ,AU190708_02U,T, ,3, ,-23,149
unnamed ,AU190708_02U,T, ,2, ,-26.5,150.5
unnamed ,AU190809_01U,T, ,1, ,-14,153
unnamed ,AU190809_01U,T, ,1, ,-14.5,153.5
unnamed ,AU190809_01U,T, ,1, ,-15.2,154
unnamed ,AU190809_01U,T, ,1, ,-17.6,155.8
unnamed ,AU190809_01U,T, ,1, ,-21.4,156.9
unnamed ,AU190809_01U,T, ,1, ,-24.5,159.3
unnamed ,AU190910_01U,T, ,1, ,-12.7,147.9
unnamed ,AU190910_01U,T, ,1, ,-13.8,147
unnamed ,AU190910_01U,T, ,1, ,-15.7,145.8
unnamed ,AU190910_01U,T, ,3, ,-16.4,145.3
unnamed ,AU190910_01U,T, ,2, ,-17.1,145.1
unnamed ,AU190910_01U,T, ,2, ,-17.8,144.9
unnamed ,AU190910_01U,T, ,2, ,-18.6,145.6
unnamed ,AU190910_01U,T, ,4, ,-18.9,146.3
unnamed ,AU190910_01U,T, ,1, ,-20.1,149
unnamed ,AU190910_01U,T, ,1, ,-21.4,154.2
unnamed ,AU191011_01U,T, ,1, ,-15,120
unnamed ,AU191011_01U,T, ,1, ,-17.5,122
unnamed ,AU191011_01U,T, ,3, ,-17.7,122.1
unnamed ,AU191011_01U,T, ,4, ,-17.8,122.1
unnamed ,AU191011_01U,T, ,1, ,-18.3,121.7
unnamed ,AU191011_01U,T, ,1, ,-19.1,119.7
unnamed ,AU191011_02U,T, ,1, ,-14.7,138.4
unnamed ,AU191011_02U,T, ,1, ,-15.6,138.9
unnamed ,AU191011_02U,T, ,1, ,-16.3,139.2
unnamed ,AU191011_02U,T, ,3, ,-17,139
unnamed ,AU191011_02U,T, ,2, ,-17.8,138.8
unnamed ,AU191011_02U,T, ,2, ,-18.1,138.9
unnamed ,AU191011_02U,T, ,2, ,-18.4,139.2
unnamed ,AU191011_02U,T, ,2, ,-18.6,139.9
unnamed ,AU191011_02U,T, ,2, ,-19,140.7
unnamed ,AU191011_02U,T, ,2, ,-19.2,143.7
unnamed ,AU191011_02U,T, ,2, ,-19.6,144.3
unnamed ,AU191011_02U,T, ,2, ,-20.8,145.2
unnamed ,AU191011_02U,T, ,2, ,-23.6,146.1
unnamed ,AU191011_02U,T, ,2, ,-25,147
unnamed ,AU191011_02U,T, ,2, ,-28,148
unnamed ,AU191011_03U,T, ,1, ,-18.3,117.1
unnamed ,AU191011_03U,T, ,1, ,-20.3,116
unnamed ,AU191011_03U,T, ,1, ,-21.4,114.2
unnamed ,AU191011_03U,T, ,1, ,-22.9,111.2
unnamed ,AU191011_04U,T, ,2, ,-12.7,143.2
unnamed ,AU191011_04U,T, ,4, ,-12.8,143.6
unnamed ,AU191011_04U,T, ,1, ,-13.4,144.6
unnamed ,AU191011_04U,T, ,1, ,-14.8,145.6
unnamed ,AU191011_04U,T, ,1, ,-16.8,146.6
unnamed ,AU191011_04U,T, ,1, ,-17.7,146.9
unnamed ,AU191011_04U,T, ,1, ,-20.5,149.3
unnamed ,AU191011_04U,T, ,3, ,-21.6,149.5
unnamed ,AU191011_04U,T, ,2, ,-21.9,149.5
unnamed ,AU191011_04U,T, ,2, ,-23.8,149
unnamed ,AU191011_05U,T, ,1, ,-15.1,146.9
unnamed ,AU191011_05U,T, ,3, ,-16.1,145.3
unnamed ,AU191011_05U,T, ,2, ,-16.7,145.1
unnamed ,AU191011_05U,T, ,2, ,-17.8,144.5
unnamed ,AU191011_05U,T, ,2, ,-17.9,143.9
